"source","population","temperature","country","weeks_survived","survived","exp_length","sample_size","experiment_index","population_index"
,,28,"Zimbabwe",0,0,15,,17,2
,,28,"Zimbabwe",0,0,15,,17,2
,,28,"Zimbabwe",,1,10,,17,2
,,28,"Zimbabwe",10,0,15,,17,2
,,28,"Zimbabwe",0,0,15,,17,2
,,28,"Zimbabwe",8,0,15,,17,2
,,28,"Zimbabwe",,1,8,,17,2
,,28,"Zimbabwe",8,0,15,,17,2
,,28,"Zimbabwe",11,0,15,,17,2
,,28,"Zimbabwe",13,0,15,,17,2
,,28,"Zimbabwe",,1,13,,17,2
,,28,"Zimbabwe",,1,0,,17,2
,,28,"Zimbabwe",,1,-1,,17,2
,,28,"Zimbabwe",0,0,15,,17,2
,,28,"Zimbabwe",,1,12,,17,2
,,28,"Zimbabwe",12,0,15,,17,2
,,28,"Zimbabwe",0,0,15,,17,2
,,28,"Zimbabwe",,1,3,,17,2
,,28,"Zimbabwe",3,0,15,,17,2
,,28,"Zimbabwe",,1,0,,17,2
,,28,"Zimbabwe",2,0,15,,17,2
,,28,"Zimbabwe",,1,13,,17,2
,,28,"Zimbabwe",,1,13,,17,2
,,28,"Zimbabwe",4,0,15,,17,2
,,28,"Zimbabwe",0,0,15,,17,2
,,28,"Zimbabwe",4,0,15,,17,2
,,28,"Zimbabwe",2,0,15,,17,2
,,28,"Zimbabwe",,1,7,,17,2
,,28,"Zimbabwe",,1,8,,17,2
,,28,"Zimbabwe",,1,2,,17,2
,,28,"Zimbabwe",,1,-1,,17,2
,,28,"Zimbabwe",1,0,15,,17,2
,,28,"Zimbabwe",2,0,15,,17,2
,,28,"Zimbabwe",2,0,15,,17,2
,,28,"Zimbabwe",0,0,15,,17,2
,,28,"Zimbabwe",,1,0,,17,2
,,28,"Zimbabwe",0,0,15,,17,2
,,28,"Zimbabwe",0,0,15,,17,2
,,28,"Zimbabwe",0,0,15,,17,2
,,28,"Zimbabwe",,1,1,,17,2
,,28,"Zimbabwe",,1,0,,17,2
,,28,"Zimbabwe",1,0,15,,17,2
,,28,"Zimbabwe",1,0,15,,17,2
,,28,"Zimbabwe",0,0,15,,17,2
,,28,"Zimbabwe",,1,0,,17,2
,,28,"Zimbabwe",,1,13,,17,2
,,28,"Zimbabwe",,1,13,,17,2
,,28,"Zimbabwe",6,0,15,,17,2
,,28,"Zimbabwe",,1,6,,17,2
,,28,"Zimbabwe",5,0,15,,17,2
,,28,"Zimbabwe",,1,6,,17,2
,,28,"Zimbabwe",6,0,15,,17,2
,,28,"Zimbabwe",2,0,15,,17,2
,,28,"Zimbabwe",1,0,15,,17,2
,,28,"Zimbabwe",1,0,15,,17,2
,,28,"Zimbabwe",,1,1,,17,2
,,28,"Zimbabwe",,1,5,,17,2
,,28,"Zimbabwe",5,0,15,,17,2
,,28,"Zimbabwe",2,0,15,,17,2
,,28,"Zimbabwe",6,0,15,,17,2
,,28,"Zimbabwe",1,0,15,,17,2
,,28,"Zimbabwe",2,0,15,,17,2
,,28,"Zimbabwe",8,0,15,,17,2
,,28,"Zimbabwe",,1,9,,17,2
,,28,"Zimbabwe",,1,8,,17,2
,,28,"Corsica",2,0,15,,18,3
,,28,"Corsica",2,0,15,,18,3
,,28,"Corsica",1,0,15,,18,3
,,28,"Corsica",2,0,15,,18,3
,,28,"Corsica",11,0,15,,18,3
,,28,"Corsica",,1,11,,18,3
,,28,"Corsica",4,0,15,,18,3
,,28,"Corsica",9,0,15,,18,3
,,28,"Corsica",9,0,15,,18,3
